[INFO    :   django.utils.autoreload] - 2024-02-03 15:38:24,527 : run_with_reloader @ 0668: Watching for file changes with StatReloader
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,386 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1706875376.3560994
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,387 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1706875347.20419
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,388 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\asyncio\runners.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,388 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1706875377.6694956
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,389 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1706875349.9643724
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,390 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1706875376.2752452
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,391 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1706875376.13203
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,392 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\asyncio\proactor_events.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,392 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1706875374.911024
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,393 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\asyncio\constants.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,394 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1706875377.6734996
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,395 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1706875376.5573819
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,395 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\friendlydogs\manage.py first seen with mtime 1706875710.8432512
